api,category,doc
DataFrame,Constructor,Two-dimensional  size-mutable  potentially heterogeneous tabular data.
index,Attributes and underlying data,The index (row labels) of the DataFrame.
columns,Attributes and underlying data,The column labels of the DataFrame.
dtypes,Attributes and underlying data,Return the dtypes in the DataFrame.
info,Attributes and underlying data,Print a concise summary of a DataFrame.
select_dtypes,Attributes and underlying data,Return a subset of the DataFrames columns based on the column dtypes.
values,Attributes and underlying data,Return a Numpy representation of the DataFrame.
axes,Attributes and underlying data,Return a list representing the axes of the DataFrame.
ndim,Attributes and underlying data,Return an int representing the number of axes / array dimensions.
size,Attributes and underlying data,Return an int representing the number of elements in this object.
shape,Attributes and underlying data,Return a tuple representing the dimensionality of the DataFrame.
memory_usage,Attributes and underlying data,Return the memory usage of each column in bytes.
empty,Attributes and underlying data,Indicator whether DataFrame is empty.
set_flags,Attributes and underlying data,Return a new object with updated flags.
astype,Conversion,Cast a pandas object to a specified dtype dtype.
convert_dtypes,Conversion,Convert columns to best possible dtypes using dtypes supporting pd.NA.
infer_objects,Conversion,Attempt to infer better dtypes for object columns.
copy,Conversion,Make a copy of this objects indices and data.
bool,Conversion,Return the bool of a single element Series or DataFrame.
head,Indexing  iteration,Return the first n rows.
at,Indexing  iteration,Access a single value for a row/column label pair.
iat,Indexing  iteration,Access a single value for a row/column pair by integer position.
loc,Indexing  iteration,Access a group of rows and columns by label(s) or a boolean array.
iloc,Indexing  iteration,Purely integer-location based indexing for selection by position.
insert,Indexing  iteration,Insert column into DataFrame at specified location.
__iter__,Indexing  iteration,Iterate over info axis.
items,Indexing  iteration,Iterate over (column name  Series) pairs.
iteritems,Indexing  iteration,Iterate over (column name  Series) pairs.
keys,Indexing  iteration,Get the info axis (see Indexing for more).
iterrows,Indexing  iteration,Iterate over DataFrame rows as (index  Series) pairs.
itertuples,Indexing  iteration,Iterate over DataFrame rows as namedtuples.
lookup,Indexing  iteration,(DEPRECATED) Label-based fancy indexing function for DataFrame.
pop,Indexing  iteration,Return item and drop from frame.
tail,Indexing  iteration,Return the last n rows.
xs,Indexing  iteration,Return cross-section from the Series/DataFrame.
get,Indexing  iteration,Get item from object for given key (ex: DataFrame column).
isin,Indexing  iteration,Whether each element in the DataFrame is contained in values.
where,Indexing  iteration,Replace values where the condition is False.
mask,Indexing  iteration,Replace values where the condition is True.
query,Indexing  iteration,Query the columns of a DataFrame with a boolean expression.
add,Binary operator functions,Get Addition of dataframe and other  element-wise (binary operator add).
sub,Binary operator functions,Get Subtraction of dataframe and other  element-wise (binary operator sub).
mul,Binary operator functions,Get Multiplication of dataframe and other  element-wise (binary operator mul).
div,Binary operator functions,Get Floating division of dataframe and other  element-wise (binary operator truediv).
truediv,Binary operator functions,Get Floating division of dataframe and other  element-wise (binary operator truediv).
floordiv,Binary operator functions,Get Integer division of dataframe and other  element-wise (binary operator floordiv).
mod,Binary operator functions,Get Modulo of dataframe and other  element-wise (binary operator mod).
pow,Binary operator functions,Get Exponential power of dataframe and other  element-wise (binary operator pow).
dot,Binary operator functions,Compute the matrix multiplication between the DataFrame and other.
radd,Binary operator functions,Get Addition of dataframe and other  element-wise (binary operator radd).
rsub,Binary operator functions,Get Subtraction of dataframe and other  element-wise (binary operator rsub).
rmul,Binary operator functions,Get Multiplication of dataframe and other  element-wise (binary operator rmul).
rdiv,Binary operator functions,Get Floating division of dataframe and other  element-wise (binary operator rtruediv).
rtruediv,Binary operator functions,Get Floating division of dataframe and other  element-wise (binary operator rtruediv).
rfloordiv,Binary operator functions,Get Integer division of dataframe and other  element-wise (binary operator rfloordiv).
rmod,Binary operator functions,Get Modulo of dataframe and other  element-wise (binary operator rmod).
rpow,Binary operator functions,Get Exponential power of dataframe and other  element-wise (binary operator rpow).
lt,Binary operator functions,Get Less than of dataframe and other  element-wise (binary operator lt).
gt,Binary operator functions,Get Greater than of dataframe and other  element-wise (binary operator gt).
le,Binary operator functions,Get Less than or equal to of dataframe and other  element-wise (binary operator le).
ge,Binary operator functions,Get Greater than or equal to of dataframe and other  element-wise (binary operator ge).
ne,Binary operator functions,Get Not equal to of dataframe and other  element-wise (binary operator ne).
eq,Binary operator functions,Get Equal to of dataframe and other  element-wise (binary operator eq).
combine,Binary operator functions,Perform column-wise combine with another DataFrame.
combine_first,Binary operator functions,Update null elements with value in the same location in other.
apply,Function application  GroupBy & window,Apply a function along an axis of the DataFrame.
applymap,Function application  GroupBy & window,Apply a function to a Dataframe elementwise.
pipe,Function application  GroupBy & window,Apply func(self  *args  **kwargs).
agg,Function application  GroupBy & window,Aggregate using one or more operations over the specified axis.
aggregate,Function application  GroupBy & window,Aggregate using one or more operations over the specified axis.
transform,Function application  GroupBy & window,Call func on self producing a DataFrame with transformed values.
groupby,Function application  GroupBy & window,Group DataFrame using a mapper or by a Series of columns.
rolling,Function application  GroupBy & window,Provide rolling window calculations.
expanding,Function application  GroupBy & window,Provide expanding transformations.
ewm,Function application  GroupBy & window,Provide exponential weighted (EW) functions.
abs,Computations / descriptive stats,Return a Series/DataFrame with absolute numeric value of each element.
all,Computations / descriptive stats,Return whether all elements are True  potentially over an axis.
any,Computations / descriptive stats,Return whether any element is True  potentially over an axis.
clip,Computations / descriptive stats,Trim values at input threshold(s).
corr,Computations / descriptive stats,Compute pairwise correlation of columns  excluding NA/null values.
corrwith,Computations / descriptive stats,Compute pairwise correlation.
count,Computations / descriptive stats,Count non-NA cells for each column or row.
cov,Computations / descriptive stats,Compute pairwise covariance of columns  excluding NA/null values.
cummax,Computations / descriptive stats,Return cumulative maximum over a DataFrame or Series axis.
cummin,Computations / descriptive stats,Return cumulative minimum over a DataFrame or Series axis.
cumprod,Computations / descriptive stats,Return cumulative product over a DataFrame or Series axis.
cumsum,Computations / descriptive stats,Return cumulative sum over a DataFrame or Series axis.
describe,Computations / descriptive stats,Generate descriptive statistics.
diff,Computations / descriptive stats,First discrete difference of element.
eval,Computations / descriptive stats,Evaluate a string describing operations on DataFrame columns.
kurt,Computations / descriptive stats,Return unbiased kurtosis over requested axis.
kurtosis,Computations / descriptive stats,Return unbiased kurtosis over requested axis.
mad,Computations / descriptive stats,Return the mean absolute deviation of the values over the requested axis.
max,Computations / descriptive stats,Return the maximum of the values over the requested axis.
mean,Computations / descriptive stats,Return the mean of the values over the requested axis.
median,Computations / descriptive stats,Return the median of the values over the requested axis.
min,Computations / descriptive stats,Return the minimum of the values over the requested axis.
mode,Computations / descriptive stats,Get the mode(s) of each element along the selected axis.
pct_change,Computations / descriptive stats,Percentage change between the current and a prior element.
prod,Computations / descriptive stats,Return the product of the values over the requested axis.
product,Computations / descriptive stats,Return the product of the values over the requested axis.
quantile,Computations / descriptive stats,Return values at the given quantile over requested axis.
rank,Computations / descriptive stats,Compute numerical data ranks (1 through n) along axis.
round,Computations / descriptive stats,Round a DataFrame to a variable number of decimal places.
sem,Computations / descriptive stats,Return unbiased standard error of the mean over requested axis.
skew,Computations / descriptive stats,Return unbiased skew over requested axis.
sum,Computations / descriptive stats,Return the sum of the values over the requested axis.
std,Computations / descriptive stats,Return sample standard deviation over requested axis.
var,Computations / descriptive stats,Return unbiased variance over requested axis.
nunique,Computations / descriptive stats,Count number of distinct elements in specified axis.
value_counts,Computations / descriptive stats,Return a Series containing counts of unique rows in the DataFrame.
