api,category,doc
read_pickle,Pickling,Load pickled pandas object (or any object) from file.
to_pickle,Pickling,Pickle (serialize) object to file.
read_table,Flat file,Read general delimited file into DataFrame.
read_csv,Flat file,Read a comma-separated values (csv) file into DataFrame.
to_csv,Flat file,Write object to a comma-separated values (csv) file.
read_fwf,Flat file,Read a table of fixed-width formatted lines into DataFrame.
read_clipboard,Clipboard,Read text from clipboard and pass to read_csv.
to_clipboard,Clipboard,Copy object to the system clipboard.
read_excel,Excel,Read an Excel file into a pandas DataFrame.
to_excel,Excel,Write object to an Excel sheet.
parse,Excel,Parse specified sheet(s) into a DataFrame.
to_excel,Excel,Write Styler to an Excel sheet.
ExcelWriter,Excel,Class for writing DataFrame objects into excel sheets.
read_json,JSON,Convert a JSON string to pandas object.
build_table_schema,JSON,Create a Table schema from data.
read_html,HTML,Read HTML tables into a list of DataFrame objects.
to_html,HTML,Render a DataFrame as an HTML table.
to_html,HTML,Write Styler to a file  buffer or string in HTML-CSS format.
read_xml,XML,Read XML document into a DataFrame object.
to_xml,XML,Render a DataFrame to an XML document.
to_latex,Latex,Render object to a LaTeX tabular  longtable  or nested table/tabular.
to_latex,Latex,Write Styler to a file  buffer or string in LaTeX format.
read_hdf,HDFStore: PyTables (HDF5),Read from the store  close it if we opened it.
put,HDFStore: PyTables (HDF5),Store object in HDFStore.
append,HDFStore: PyTables (HDF5),Append to Table in file.
get,HDFStore: PyTables (HDF5),Retrieve pandas object stored in file.
select,HDFStore: PyTables (HDF5),Retrieve pandas object stored in file  optionally based on where criteria.
info,HDFStore: PyTables (HDF5),Print detailed information on the store.
keys,HDFStore: PyTables (HDF5),Return a list of keys corresponding to objects stored in HDFStore.
groups,HDFStore: PyTables (HDF5),Return a list of all the top-level nodes.
walk,HDFStore: PyTables (HDF5),Walk the pytables group hierarchy for pandas objects.
read_feather,Feather,Load a feather-format object from the file path.
to_feather,Feather,Write a DataFrame to the binary Feather format.
read_parquet,Parquet,Load a parquet object from the file path  returning a DataFrame.
to_parquet,Parquet,Write a DataFrame to the binary parquet format.
read_orc,ORC,Load an ORC object from the file path  returning a DataFrame.
read_sas,SAS,Read SAS files stored as either XPORT or SAS7BDAT format files.
read_spss,SPSS,Load an SPSS file from the file path  returning a DataFrame.
read_sql_table,SQL,Read SQL database table into a DataFrame.
read_sql_query,SQL,Read SQL query into a DataFrame.
read_sql,SQL,Read SQL query or database table into a DataFrame.
to_sql,SQL,Write records stored in a DataFrame to a SQL database.
read_gbq,Google BigQuery,Load data from Google BigQuery.
read_stata,STATA,Read Stata file into DataFrame.
to_stata,STATA,Export DataFrame object to Stata dta format.
data_label,STATA,Return data label of Stata file.
value_labels,STATA,Return a dict  associating each variable name a dict  associating each value its corresponding label.
variable_labels,STATA,Return variable labels as a dict  associating each variable name with corresponding label.
melt,Data manipulations,Unpivot a DataFrame from wide to long format  optionally leaving identifiers set.
pivot,Data manipulations,Return reshaped DataFrame organized by given index / column values.
pivot_table,Data manipulations,Create a spreadsheet-style pivot table as a DataFrame.
crosstab,Data manipulations,Compute a simple cross tabulation of two (or more) factors.
cut,Data manipulations,Bin values into discrete intervals.
qcut,Data manipulations,Quantile-based discretization function.
merge,Data manipulations,Merge DataFrame or named Series objects with a database-style join.
merge_ordered,Data manipulations,Perform merge with optional filling/interpolation.
merge_asof,Data manipulations,Perform an asof merge.
concat,Data manipulations,Concatenate pandas objects along a particular axis with optional set logic along the other axes.
get_dummies,Data manipulations,Convert categorical variable into dummy/indicator variables.
factorize,Data manipulations,Encode the object as an enumerated type or categorical variable.
unique,Data manipulations,Hash table-based unique.
wide_to_long,Data manipulations,Wide panel to long format.
isna,Top-level missing data,Detect missing values for an array-like object.
isnull,Top-level missing data,Detect missing values for an array-like object.
notna,Top-level missing data,Detect non-missing values for an array-like object.
